Designator,Mid X,Mid Y,Rotation,Layer
BZ1,174.5,-114.0,0.0,top
DS1,161.09,-67.655,0.0,top
J1,172.8525,-94.99,90.0,top
U2,151.0,-113.5,180.0,top
